startdate,enddate,conflictname,admin0,overviewuri,conflictid
15/03/2011,,Syrian Civil War,SYR,https://en.wikipedia.org/wiki/Syrian_civil_war,f7791563-ed4e-51ac-0f6f-949e829528ef
16/09/2014,,Yemeni Civil War,YEM,https://en.wikipedia.org/wiki/Yemeni_civil_war_(2014%E2%80%93present),361f1c4f-b53b-095e-ebfc-e8c89a0f299b
14/02/2014,,Russo-Ukrainian War,UKR,https://en.wikipedia.org/wiki/Russo-Ukrainian_War,458dda75-b6bd-2034-3020-936695216a98
07/10/2001,30/08/2021,War in Afghanistan (2001–2021),AFG,https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%932021),0bd085e2-6fc5-21cd-784d-defa8039abe3
14/05/1948,,Israeli-Palestinian Conflict,ISR,https://en.wikipedia.org/wiki/Israeli%E2%80%93Palestinian_conflict,967758e9-f486-cf52-b352-d1d54ed0bfab
25/06/1950,02/07/1953,Korean War,KOR,https://en.wikipedia.org/wiki/Korean_War,99d00fe6-30ef-06b0-cd2f-e9d920b4432c
20/02/1988,,Nagorno-Karabakh Conflict,AZE,https://en.wikipedia.org/wiki/Nagorno-Karabakh_conflict,c03dd05b-b146-df42-19dc-8fa0fc82c94b
27/02/2011,,Libyan Crisis (2011–present),LBY,https://en.wikipedia.org/wiki/Libyan_Crisis_(2011%E2%80%93present),b2327a59-3d15-a6b6-57f4-db2ae5e42e10
18/08/1955,27/03/1972,First Sudanese Civil War,SDN,https://en.wikipedia.org/wiki/First_Sudanese_Civil_War,36edd38c-40af-d98c-ec47-7eec230aff43
20/03/2003,15/12/2011,Iraq War,IRQ,https://en.wikipedia.org/wiki/Iraq_War,d5f5f232-b247-513f-cf29-b00ae86af286
27/05/1964,,Colombian Conflict,COL,https://en.wikipedia.org/wiki/Colombian_conflict,50f66eef-6acb-a853-383a-e0f7abac8c4e
27/11/1978,,Kurdish-Turkish Conflict,TUR,https://en.wikipedia.org/wiki/Kurdish%E2%80%93Turkish_conflict_(1978%E2%80%93present),88ace4fc-8eae-7296-005f-dcae3ee875d2
19/09/1947,,Kashmir Conflict,IND,https://en.wikipedia.org/wiki/Kashmir_conflict,c36f442d-fecc-2182-e386-1ff8fa27731b
17/06/1970,,Western Sahara Conflict,MAR,https://en.wikipedia.org/wiki/Western_Sahara_conflict,01c05c9d-dcfd-70c8-2641-108bd06fbf31
01/05/1946,,Rohingya Conflict,MMR,https://en.wikipedia.org/wiki/Rohingya_conflict,b54337a9-a01a-a10b-768f-595341f646f3
10/04/1978,,Somali Civil War,SOM,https://en.wikipedia.org/wiki/Somali_Civil_War,2f441433-a094-0e40-1dfe-9a75e870cd6b
02/08/1998,18/07/2003,Second Congo War,COD,https://en.wikipedia.org/wiki/Second_Congo_War,0f468e74-9168-9b12-6172-5d9369f794b8
12/09/1974,28/05/1991,Ethiopian Civil War,ETH,https://en.wikipedia.org/wiki/Ethiopian_Civil_War,9a3f50e0-393f-153e-1f34-e5bc2f889fd8
16/04/2009,19/12/2017,Insurgency in the Northern Caucus,RUS,https://en.wikipedia.org/wiki/Insurgency_in_the_North_Caucasus,8640dd17-6f6e-bd8a-062a-0437316beb00
16/01/2012,,Mali War,MLI,https://en.wikipedia.org/wiki/Mali_War,36ffe99f-c3fb-2888-78ea-050e7b1fbf7a
13/04/2013,10/01/2014,Central African Republic Conflict,CAF,https://en.wikipedia.org/wiki/Central_African_Republic_conflict_(2013%E2%80%932014),becf432b-644b-2ca0-519a-960f7a00b21e
15/12/2013,22/02/2020,South Sudanese Civil War,SSD,https://en.wikipedia.org/wiki/South_Sudanese_Civil_War,19599a17-f1a6-cfb1-72fb-a9408c09ee69
06/04/1992,14/12/1995,Bosnian War,BIH,https://en.wikipedia.org/wiki/Bosnian_War,430722c2-91a0-941b-c1b6-f434893ef88e
11/03/1967,17/04/1975,Cambodian Civil War,KHM,https://en.wikipedia.org/wiki/Cambodian_Civil_War,f140e131-5e91-c988-e6a5-ae908c307993
18/12/2005,15/01/2010,Chadian Civil War,TCD,https://en.wikipedia.org/wiki/Chadian_Civil_War_(2005%E2%80%932010),2df94814-1b59-568f-d8a5-ce99b8128b25
01/01/1955,01/01/1974,Cyprus Problem,CYP,https://en.wikipedia.org/wiki/Cyprus_problem,f4349f63-c1f3-cc8e-cf5b-0afbeabb227c
01/01/1982,,Casamance Conflict,SEN,https://en.wikipedia.org/wiki/Casamance_conflict,e4078ca8-6a53-9753-fe67-2851e9843fdc
26/02/2003,31/08/2020,War in Darfur,SDN,https://en.wikipedia.org/wiki/War_in_Darfur,019f33c3-ad9a-f55a-5830-7bb2659c7b37
06/05/1998,18/06/2000,Eritrean-Ethiopian War,ERI,https://en.wikipedia.org/wiki/Eritrean%E2%80%93Ethiopian_War,eeada4b8-d317-0e15-e528-be6ee00beb06
01/01/1987,,Lord's Resistance Army Insurgency,UGA,https://en.wikipedia.org/wiki/Lord%27s_Resistance_Army_insurgency,50d082e0-dbc9-ae38-b82b-9d97de0c1c1d
01/01/1950,01/01/1962,Western New Guinea Dispute,IDN,https://en.wikipedia.org/wiki/West_New_Guinea_dispute,d401a40e-f425-7fa7-adf7-febafab296fe
07/08/2008,12/08/2008,Russo-Georgian War,GEO,https://en.wikipedia.org/wiki/Russo-Georgian_War,42a109fe-98ae-ac3a-57e0-4061138f38cd
18/03/1989,,Abkhaz–Georgian conflict,GEO,https://en.wikipedia.org/wiki/Abkhazia_conflict,33450c6b-a2f6-e2dd-c871-53b3532ead18
01/07/1948,,Insurgency in Balochistan,PAK,https://en.wikipedia.org/wiki/Insurgency_in_Balochistan,c1a303b5-8c2d-96b0-fbb2-ff6642800a0e
01/01/1918,,Kurdish-Iranian Conflict,IRN,https://en.wikipedia.org/wiki/Kurdish_separatism_in_Iran,4557752d-7303-7750-af88-ea81bcfb7136
23/03/1991,18/01/2002,Sierra Leone Civil War,SLE,https://en.wikipedia.org/wiki/Sierra_Leone_Civil_War,6c182ca8-df6b-7c9f-e335-47daa815281a
01/10/1990,18/07/1994,Rwandan Civil War,RWA,https://en.wikipedia.org/wiki/Rwandan_Civil_War,6b2016bc-880f-9859-f253-4af67dc078cc
13/02/1996,21/11/2006,Nepalese Civil War,NPL,https://en.wikipedia.org/wiki/Nepalese_Civil_War,0d19a941-c80f-34de-fcc9-7760380cb242
11/11/1975,04/04/2002,Angolan Civil War,AGO,https://en.wikipedia.org/wiki/Angolan_Civil_War,119e8cda-06af-55dd-ae22-9587638cfb2e
07/12/1975,20/06/2002,East Timor Genocide,TLS,https://en.wikipedia.org/wiki/East_Timor_genocide,2f20fb38-5e9d-96d8-831c-22432c114280
03/06/1999,26/07/1999,Kagil War,PAK,https://en.wikipedia.org/wiki/Kargil_War,f6160806-1722-370a-ce7c-c2b4b62c8807
02/04/2015,,Saudi-Yemen Border Conflict,SAU,https://en.wikipedia.org/wiki/Houthi%E2%80%93Saudi_Arabian_conflict,e0a79a4f-1d4c-559b-f57e-59b7876b13a9
13/04/1975,13/10/1990,Lebanese Civil War,LBN,https://en.wikipedia.org/wiki/Lebanese_Civil_War,76dd04a4-8897-184e-ef46-f9a104b84f29
