category,groupid,groupname,origin,uri
militant,69b690c4-9c6b-bd7d-08b8-bfb7db5408a5,Janjaweed,SDN,
militant,de67a4b6-0d88-bfc5-7c29-cdb713cbf391,National Liberation Army (ELN),COL,
militant,ee9d139f-fc26-bf98-adce-b436cb0e5470,Chechen Rebels,RUS,
militant,a5e29a1e-9fba-3834-3394-06cce7cdaaff,Abbu Sayyaf,PHL,
militant,08db40ee-862c-7503-8e75-5aa156b7203c,Tehrik-i-Taliban,PAK,
militant,9188a7b8-17c3-3324-6996-aecdf417d433,Jaish-e-Mohammed,IND,
militant,0a564f3d-240b-70fe-c880-57148d78c725,Al-Shabaab,SOM,
militant,6b3b1e91-ffd6-2a1f-99f7-38e68520ed95,Lord's Resistance Army (LRA),UGA,
militant,2777c329-dd7a-f9f3-9ba0-a2e4906327a1,Kurdistan Workers' Party (PKK),TUR,
militant,e5f04726-1d60-c440-0889-35a5b16ad70f,Moro Islamic Liberation Front (MILF),PHL,
militant,4d62a2be-7617-6f1b-576e-e20b54cc37fb,Liberation Tigers of Tamil Eelam (LTEE),LKA,
militant,bfe21d69-ab69-b581-2a24-ee8456aca5d4,Revolutionary Armed Forces of Colombia (FARC),COL,
militant,7f23d151-6dbd-7c1b-2c36-52f38fb78c7a,Hezbollah,LBN,
militant,0e12e824-4d30-a69e-ccff-3addf2bbb30f,Hamas,PSE,
militant,712fcc7d-4e96-e1d3-7e12-8a9649d844ed,Boko Haram,NGA,
militant,a47f9de3-da33-30ae-a7c2-a3f603bb3e26,Taliban,AFG,
militant,a3e46136-b18d-f6ae-4d75-b9f1507c06f0,Al-Qaeda,PAK,
militant,412f2f33-2457-001f-541a-417c80d54571,Islamic State (ISIS/ISIL/Daesh),IRQ,
militant,97b784ec-910d-100a-c3f6-3b19ee1bcf9b,Wagner PMC,RUS,
militant,c0abcf8c-1b7c-2d75-fdcb-05ed706ca8ea,Houthi Rebels,YEM,
militant,d6843f7c-7130-ea2f-a425-cf0255cf0717,unknown,NA,
militant,df4175c4-fabf-20e8-7a28-1cbe168df978,Coalition of Patriots for Change (CPC),CAF,
militant,09c97e8f-9b1d-9153-dc13-b2e27bfda315,Oath Keepers,USA,
militant,14e5717e-6a60-5e62-4e1c-c0bf79431df5,The New Irish Republican Army,GBR,
militant,71b8c4a1-c3c6-190a-03f2-d434d66ead8f,Ahl al-Marouf,IRQ,
militant,ad261450-f1d4-abb2-61a4-caa85bae315b,Palestenian extremists,PSE,
militant,5a53b89e-82a6-6849-0f10-731bef21dc02,Khorasan Chapter of the Islamic State,IRQ,
militant,d3aea807-9511-b90f-16f3-2d7953923217,Central Africa Province of the Islamic State,COD,
militant,7ff0dd28-037c-d7f2-d761-c05217048bd5,Kachin Independence Army (KIA),MMR,
