incidentid,dateoccurence,incidentdesc,groupid,category,locale,conflictid,geom
1a20e17a-e426-d92d-a1d7-b38a2eab1956,11/06/2011,2011 Abuja police headquarters bombing,712fcc7d-4e96-e1d3-7e12-8a9649d844ed,terror,Abuja,9e1ae857-49fd-87cc-2d3f-a1faa0ec2197,Point(7.506118058136948 9.058486815346619)
c9066517-e94f-51ec-11a7-b4553a9468ee,16/01/2022,Aïgbado massacre,97b784ec-910d-100a-c3f6-3b19ee1bcf9b,massacre,Aigbado,c54dadff-cfa6-c8d6-2fe4-6c2eb7e36db7,Point(21.7621 6.8957)
936b3cab-f65a-8430-5d8b-4d205795ae0f,17/01/2022,Yanga Massacre,97b784ec-910d-100a-c3f6-3b19ee1bcf9b,massacre,Yanga,c54dadff-cfa6-c8d6-2fe4-6c2eb7e36db7,Point(21.596389 7.363)
61ade9b7-f645-b583-7de9-9fc610329898,20/09/2015,September 2015 Borno State Bombings,712fcc7d-4e96-e1d3-7e12-8a9649d844ed,terror,Maigduri/Moriguno,2f441433-a094-0e40-1dfe-9a75e870cd6b,Point(13.618255692886262 12.66768855944922)
566969e3-e3e5-f383-23c4-38e753db82bf,08/02/2021,Hulugho Police Station Attack,0a564f3d-240b-70fe-c880-57148d78c725,terror,Garissa,2f441433-a094-0e40-1dfe-9a75e870cd6b,
9638baea-8c4c-84b9-98f2-5d0cdeb397b1,29/12/2020,Ambulance ambushed,0a564f3d-240b-70fe-c880-57148d78c725,terror,Mandera,2f441433-a094-0e40-1dfe-9a75e870cd6b,
81864f77-9e7c-4aba-ca2e-bfe7e4c9318a,27/12/2020,"KDF, al-Shabaab engagement",0a564f3d-240b-70fe-c880-57148d78c725,terror,Garissa,2f441433-a094-0e40-1dfe-9a75e870cd6b,
3ba872d2-4ff3-bae1-66d0-26aed037513a,14/12/2020,Borehole 11 attack,0a564f3d-240b-70fe-c880-57148d78c725,terror,El Wak,2f441433-a094-0e40-1dfe-9a75e870cd6b,
0d746e52-8431-b402-47e7-5a11521dcf1d,15/01/2019,DusitD2 hotel,0a564f3d-240b-70fe-c880-57148d78c725,terror,Nairobi,2f441433-a094-0e40-1dfe-9a75e870cd6b,Point(36.803818484236515 -1.269191352706191)
7eb0f15f-7450-00ca-2530-013d1307721b,01/04/2021,Attack on residential houses,a47f9de3-da33-30ae-a7c2-a3f603bb3e26,terror,Al Khamseen Street,0bd085e2-6fc5-21cd-784d-defa8039abe3,Point(43.074642 14.793804)
